cluster,labels,keywords
0,Transformers & Self-Attention,"['attention', 'transformer', 'token', 'self', 'layer', 'architecture', 'mechanism', 'long', 'sequence', 'vision', 'network', 'memory', 'representation', 'state', 'training']"
1,GAN’s & Image Reconstruction,"['image', 'resolution', 'network', 'dataset', 'face', 'feature', 'visual', 'generate', 'deep', 'gan', 'learn', 'reconstruction', 'training', 'train', 'super']"
2,Reinforcement Learning & Control,"['policy', 'reinforcement', 'learning', 'reward', 'learn', 'action', 'control', 'environment', 'agent', 'optimal', 'robot', 'state', 'decision', 'offline', 'function']"
3,LLM Reasoning & Chain-of-thought,"['reasoning', 'llm', 'language', 'benchmark', 'cot', 'step', 'thought', 'capability', 'large', 'chain', 'multimodal', 'reward', 'knowledge', 'visual', 'question']"
4,LLM Instruction Tuning & Prompting ,"['llm', 'language', 'large', 'prompt', 'human', 'generate', 'generation', 'code', 'capability', 'reasoning', 'benchmark', 'knowledge', 'response', 'dataset', 'instruction']"
5,Anomaly & Forgery Detection,"['detection', 'anomaly', 'dataset', 'detect', 'network', 'feature', 'detector', 'learning', 'image', 'event', 'deep', 'object', 'face', 'accuracy', 'series']"
6,Bayesian Inference & Uncertainty Quantification,"['distribution', 'uncertainty', 'causal', 'inference', 'sample', 'bayesian', 'estimation', 'estimate', 'gaussian', 'latent', 'variable', 'learn', 'posterior', 'parameter', 'variational']"
7,Feature Learning & Medical Image Classification,"['feature', 'classification', 'network', 'learn', 'selection', 'dataset', 'learning', 'information', 'deep', 'representation', 'image', 'machine', 'layer', 'fusion', 'extract']"
8,Graph Neural Networks & Knowledge Graphs,"['graph', 'node', 'network', 'gnn', 'structure', 'neural', 'representation', 'knowledge', 'learn', 'edge', 'information', 'learning', 'prediction', 'feature', 'dataset']"
9,Semi-Supervised & Self-Supervised Learning,"['label', 'learning', 'class', 'classification', 'training', 'learn', 'dataset', 'sample', 'representation', 'distribution', 'supervise', 'train', 'classifier', 'supervised', 'self']"
10,Multimodal Vision-Language Models,"['visual', 'multimodal', 'modality', 'language', 'image', 'modal', 'vision', 'text', 'semantic', 'cross', 'audio', 'fusion', 'mllm', 'representation', 'feature']"
11,Model Compression & Efficient AI,"['memory', 'training', 'inference', 'efficient', 'parameter', 'device', 'accuracy', 'compression', 'network', 'resource', 'cost', 'large', 'computational', 'architecture', 'optimization']"
12,Multi-Agent Systems & LLM Agents,"['agent', 'environment', 'llm', 'reinforcement', 'human', 'action', 'interaction', 'game', 'tool', 'language', 'learn', 'learning', 'decision', 'communication', 'behavior']"
13,Video Understanding & Action Recognition,"['video', 'temporal', 'frame', 'action', 'motion', 'dataset', 'feature', 'visual', 'recognition', 'generation', 'image', 'content', 'spatial', 'object', 'network']"
14,Medical Imaging & Clinical AI,"['medical', 'clinical', 'classification', 'patient', 'learning', 'image', 'deep', 'dataset', 'disease', 'prediction', 'diagnosis', 'imaging', 'segmentation', 'accuracy', 'brain']"
15,Adversarial Robustness & AI Security,"['attack', 'adversarial', 'defense', 'robustness', 'backdoor', 'perturbation', 'training', 'example', 'network', 'robust', 'box', 'security', 'detection', 'learning', 'vulnerability']"
