,cluster,close_papers
0,0,"['Fast Multipole Attention: A Scalable Multilevel Attention Mechanism for Text and Images', 'Focus Your Attention: Towards Data-Intuitive Lightweight Vision Transformers', 'Enhancing compact convolutional transformers with super attention', 'Small transformer architectures for task switching', 'Pretraining Without Attention', 'Counting in Small Transformers: The Delicate Interplay between Attention and Feed-Forward Layers', 'An Evolved Universal Transformer Memory', 'Efficient Representation Learning via Adaptive Context Pooling', 'Sparse Sinkhorn Attention', 'Understanding the Expressive Power and Mechanisms of Transformer for\n  Sequence Modeling']"
1,1,"['An Experience-based Direct Generation approach to Automatic Image\n  Cropping', 'Robust Single Image Dehazing Based on Consistent and Contrast-Assisted\n  Reconstruction', 'Low Light Image Enhancement Challenge at NTIRE 2026', 'Capturing Localized Image Artifacts through a CNN-based Hyper-image\n  Representation', 'Learning to Blindly Assess Image Quality in the Laboratory and Wild', 'Component Divide-and-Conquer for Real-World Image Super-Resolution', 'Difficulty-aware Image Super Resolution via Deep Adaptive Dual-Network', 'Single Image Brightening via Multi-Scale Exposure Fusion with Hybrid\n  Learning', 'Towards Flexible Blind JPEG Artifacts Removal', 'Towards Ultra-High-Definition Image Deraining: A Benchmark and An\n  Efficient Method']"
2,2,"['Addressing the issue of stochastic environments and local\n  decision-making in multi-objective reinforcement learning', 'Iteratively Learn Diverse Strategies with State Distance Information', 'Learning to Plan, Planning to Learn: Adaptive Hierarchical RL-MPC for Sample-Efficient Decision Making', 'Manufacturing Dispatching using Reinforcement and Transfer Learning', 'Handling Cost and Constraints with Off-Policy Deep Reinforcement\n  Learning', 'RLCFR: Minimize Counterfactual Regret by Deep Reinforcement Learning', 'Asynchronous Episodic Deep Deterministic Policy Gradient: Towards\n  Continuous Control in Computationally Complex Environments', 'Imitation Learning via Focused Satisficing', 'Robustness and risk management via distributional dynamic programming', 'Progress Constraints for Reinforcement Learning in Behavior Trees']"
3,3,"['MastermindEval: A Simple But Scalable Reasoning Benchmark', 'RLAD: Training LLMs to Discover Abstractions for Solving Reasoning Problems', 'TeleResilienceBench: Quantifying Resilience for LLM Reasoning in Telecommunications', 'Evaluating LLM Reasoning Beyond Correctness and CoT', 'Enigmata: Scaling Logical Reasoning in Large Language Models with Synthetic Verifiable Puzzles', 'The Illusion of Thinking: Understanding the Strengths and Limitations of Reasoning Models via the Lens of Problem Complexity', 'Fast on the Easy, Deep on the Hard: Efficient Reasoning via Powered Length Penalty', 'LogicGraph : Benchmarking Multi-Path Logical Reasoning via Neuro-Symbolic Generation and Verification', 'TRACE: Toulmin-based Reasoning Assessment through Constructive Elements for LLM CoT Evaluation', 'Multi-tool Integration Application for Math Reasoning Using Large\n  Language Model']"
4,4,"['When AI Co-Scientists Fail: SPOT-a Benchmark for Automated Verification of Scientific Research', 'LLAMAFUZZ: Large Language Model Enhanced Greybox Fuzzing', 'TRUEBench: Can LLM Response Meet Real-world Constraints as Productivity Assistant?', 'LIFBench: Evaluating the Instruction Following Performance and Stability of Large Language Models in Long-Context Scenarios', 'When Intelligence Fails: An Empirical Study on Why LLMs Struggle with Password Cracking', 'Evaluating the Quality of Randomness and Entropy in Tasks Supported by Large Language Models', 'Scratch Copilot Evaluation: Assessing AI-Assisted Creative Coding for\n  Families', 'CriticEval: Evaluating Large Language Model as Critic', 'Can Large Language Models assist in Hazard Analysis?', 'Democratizing Diplomacy: A Harness for Evaluating Any Large Language Model on Full-Press Diplomacy']"
5,5,"['Unsupervised Outlier Detection in Audit Analytics: A Case Study Using USA Spending Data', 'Unsupervised High Impedance Fault Detection Using Autoencoder and\n  Principal Component Analysis', 'ERX: A Fast Real-Time Anomaly Detection Algorithm for Hyperspectral Line\n  Scanning', 'Automated Defect Detection for Mass-Produced Electronic Components Based on YOLO Object Detection Models', 'Real-time data-driven detection of the rock type alteration during a\n  directional drilling', 'Towards Benchmarking and Evaluating Deepfake Detection', 'EngineAD: A Real-World Vehicle Engine Anomaly Detection Dataset', 'Lane-Wise Highway Anomaly Detection', 'Impromptu Cybercrime Euphemism Detection', 'PyOD 2: A Python Library for Outlier Detection with LLM-powered Model\n  Selection']"
6,6,"['Bayesian Distributional Models of Executive Functioning', 'INFO-SEDD: Continuous Time Markov Chains as Scalable Information Metrics\n  Estimators', 'Simulation-Based Inference with Quantile Regression', 'Transformation Forests', 'ABC-CDE: Towards Approximate Bayesian Computation with Complex\n  High-Dimensional Data and Limited Simulations', 'On the performance of multi-fidelity and reduced-dimensional neural emulators for inference of physiological boundary conditions', 'On the Model Shrinkage Effect of Gamma Process Edge Partition Models', 'Intelligent Probabilistic Inference', ""Tensors, Learning, and 'Kolmogorov Extension' for Finite-alphabet Random\n  Vectors"", 'XPCA: Extending PCA for a Combination of Discrete and Continuous\n  Variables']"
7,7,"['MsaMIL-Net: An End-to-End Multi-Scale Aware Multiple Instance Learning\n  Network for Efficient Whole Slide Image Classification', 'Computer-Aided Osteoporosis Diagnosis Using Transfer Learning with\n  Enhanced Features from Stacked Deep Learning Modules', 'The Importance of Downstream Networks in Digital Pathology Foundation\n  Models', 'Integrated feature analysis for deep learning interpretation and class\n  activation maps', 'Introducing 3DCNN ResNets for ASD full-body kinematic assessment: a\n  comparison with hand-crafted features', 'A new robust feature selection method using variance-based sensitivity\n  analysis', 'Feature Fusion for Robust Patch Matching With Compact Binary Descriptors', 'A Noise and Edge extraction-based dual-branch method for Shallowfake and\n  Deepfake Localization', 'Deep Learning as a Competitive Feature-Free Approach for Automated\n  Algorithm Selection on the Traveling Salesperson Problem', 'RelDenClu: A Relative Density based Biclustering Method for identifying\n  non-linear feature relations']"
8,8,"['Improving Expressivity of GNNs with Subgraph-specific Factor Embedded\n  Normalization', 'Enhancing the Utility of Higher-Order Information in Relational Learning', 'Graph Representation Learning with Individualization and Refinement', 'MAPN: Enhancing Heterogeneous Sparse Graph Representation by Mamba-based\n  Asynchronous Aggregation', ""On the combination of graph data for assessing thin-file borrowers'\n  creditworthiness"", 'Graph Neural Networks With Lifting-based Adaptive Graph Wavelets', 'Exploiting the Structure of Two Graphs with Graph Neural Networks', 'A Model-Agnostic Graph Neural Network for Integrating Local and Global\n  Information', 'Graph Highway Networks', 'A Practical, Progressively-Expressive GNN']"
9,9,"['From Time-series Generation, Model Selection to Transfer Learning: A Comparative Review of Pixel-wise Approaches for Large-scale Crop Mapping', 'AdaMatch: A Unified Approach to Semi-Supervised Learning and Domain\n  Adaptation', 'Constructing Multiple Tasks for Augmentation: Improving Neural Image\n  Classification With K-means Features', 'Adaptive End-to-End Metric Learning for Zero-Shot Cross-Domain Slot\n  Filling', 'Classification from Positive, Unlabeled and Biased Negative Data', 'Label-efficient underwater species classification with logistic regression on frozen foundation model embeddings', 'Transfer Learning with Informative Priors: Simple Baselines Better than\n  Previously Reported', 'Estimating the electrical power output of industrial devices with\n  end-to-end time-series classification in the presence of label noise', 'Improving State-of-the-Art in One-Class Classification by Leveraging\n  Unlabeled Data', 'MixMOOD: A systematic approach to class distribution mismatch in\n  semi-supervised learning using deep dataset dissimilarity measures']"
10,10,"['EMMA: Efficient Visual Alignment in Multi-Modal LLMs', 'OMEGA: Optimized Multimodal Position Encoding Index Derivation with Global Adaptive Scaling for Vision-Language Models', 'Fusion to Enhance: Fusion Visual Encoder to Enhance Multimodal Language Model', 'MoVA: Adapting Mixture of Vision Experts to Multimodal Context', 'Investigating Redundancy in Multimodal Large Language Models with Multiple Vision Encoders', 'An Individual Identity-Driven Framework for Animal Re-Identification', 'Dynamic Multimodal Prototype Learning in Vision-Language Models', 'Modeling Cross-vision Synergy for Unified Large Vision Model', 'GatedCLIP: Gated Multimodal Fusion for Hateful Memes Detection', 'Autoregressive Semantic Visual Reconstruction Helps VLMs Understand Better']"
11,11,"['Model Slicing for Supporting Complex Analytics with Elastic Inference\n  Cost and Resource Constraints', 'Tri-Accel: Curvature-Aware Precision-Adaptive and Memory-Elastic Optimization for Efficient GPU Usage', 'DNNShifter: An Efficient DNN Pruning System for Edge Computing', 'Design optimization for high-performance computing using FPGA', 'Software-Hardware Co-design for Fast and Scalable Training of Deep\n  Learning Recommendation Models', 'LNS-Madam: Low-Precision Training in Logarithmic Number System using\n  Multiplicative Weight Update', 'Helix: Algorithm/Architecture Co-design for Accelerating Nanopore Genome\n  Base-calling', 'CRAFT: Cost-aware Expert Replica Allocation with Fine-Grained Layerwise Estimations', 'Budget-Aware Pruning: Handling Multiple Domains with Less Parameters', 'SMILE: Scaling Mixture-of-Experts with Efficient Bi-level Routing']"
12,12,"['CRMArena: Understanding the Capacity of LLM Agents to Perform\n  Professional CRM Tasks in Realistic Environments', 'Decentralized Multi-Agent Goal Assignment for Path Planning using Large Language Models', 'ChargingBoul: A Competitive Negotiating Agent with Novel Opponent Modeling', 'Multi-Agent Coordinated Rename Refactoring', 'AgentGym: Evolving Large Language Model-based Agents across Diverse\n  Environments', 'Superhuman Safe and Agile Racing through Multi-Agent Reinforcement Learning', 'Beyond Frameworks: Unpacking Collaboration Strategies in Multi-Agent Systems', 'SkillsVote: Lifecycle Governance of Agent Skills from Collection, Recommendation to Evolution', 'Talk is Cheap, Communication is Hard: Dynamic Grounding Failures and Repair in Multi-Agent Negotiation', '$\\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment']"
13,13,"['Fast Encoder-Based 3D from Casual Videos via Point Track Processing', 'PEA265: Perceptual Assessment of Video Compression Artifacts', 'Encoding in the Dark Grand Challenge: An Overview', 'Koala-36M: A Large-scale Video Dataset Improving Consistency between\n  Fine-grained Conditions and Video Content', 'Deep Video Prior for Video Consistency and Propagation', 'The Open World of Micro-Videos', 'STREAM: Spatio-TempoRal Evaluation and Analysis Metric for Video\n  Generative Models', 'Making Every Frame Matter: Continuous Activity Recognition in Streaming\n  Video via Adaptive Video Context Modeling', 'TWLV-I: Analysis and Insights from Holistic Evaluation on Video\n  Foundation Models', 'Supervised Raw Video Denoising with a Benchmark Dataset on Dynamic\n  Scenes']"
14,14,"['An Accurate and Explainable Deep Learning System Improves Interobserver\n  Agreement in the Interpretation of Chest Radiograph', 'Discovering novel systemic biomarkers in photos of the external eye', 'Deep Learning-Based Automatic Diagnosis System for Developmental\n  Dysplasia of the Hip', 'AI Workflow, External Validation, and Development in Eye Disease Diagnosis', 'Screening of Pneumonia and Urinary Tract Infection at Triage using\n  TriNet', 'A Deep Learning System for Rapid and Accurate Warning of Acute Aortic Syndrome on Non-contrast CT in China', 'Deep Learning Approaches with Explainable AI for Differentiating Alzheimer Disease and Mild Cognitive Impairment', 'TextRay: Mining Clinical Reports to Gain a Broad Understanding of Chest\n  X-rays', 'Toward Non-Invasive Diagnosis of Bankart Lesions with Deep Learning', 'A Novel Implementation of Machine Learning for the Efficient,\n  Explainable Diagnosis of COVID-19 from Chest CT']"
15,15,"['Interpretability is a Kind of Safety: An Interpreter-based Ensemble for\n  Adversary Defense', 'Can Go AIs be adversarially robust?', 'An Empirical Review of Adversarial Defenses', 'Colliding with Adversaries at ECML-PKDD 2025 Adversarial Attack Competition 1st Prize Solution', 'Evasion Adversarial Attacks Remain Impractical Against ML-based Network Intrusion Detection Systems, Especially Dynamic Ones', 'IGAff: Benchmarking Adversarial Iterative and Genetic Affine Algorithms on Deep Neural Networks', 'TREND: Transferability based Robust ENsemble Design', 'Randomness in ML Defenses Helps Persistent Attackers and Hinders\n  Evaluators', 'An ADMM-Based Universal Framework for Adversarial Attacks on Deep Neural\n  Networks', 'Decision-based Universal Adversarial Attack']"
